"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
140,"B Honey","Short video showcasing the ""B"" honey that is produced by the Boise State University bees, and the environmental studies internship that is available through the program.","2013-07-23","Communications and Marketing","WUJs","Archives Media",12/20/2017 12:44:59,"Environmental Studies","environmental policy","UER RG 216, A17-24, 9268"
141,"Albertsons Stadium installation of B","Short video showing the install of the B on the Bronco Stadium (Albertsons Stadium).","2014-02-25","Communications and Marketing","YpmL","Archives Media",12/7/2017 8:47:49,"Football","campus","UER RG 216, A17-24, 9268"
142,"B Plaza Time-lapse","Short time-lapse video of graduates and their families taking photos in front of the B Plaza.","2015-05-09","Communications and Marketing","VAOG","Archives Media",12/20/2017 12:44:06,"Commencement","graduation","UER RG 216, A17-24, 9268"
143,"B On The Blue with Still","Video showing students gathering for the annual B on the Blue, Albertsons Stadium","2015-08-24","Communications and Marketing","i9X5","Archives Media",12/7/2017 8:47:49,"New Student Programs","campus life","UER RG 216, A17-24, 9268"
144,"B On The Blue","Video showing students gathering for the annual B on the Blue, Albertsons Stadium","2015-08-21","Communications and Marketing","qFtW","Archives Media",12/7/2017 8:47:49,"New Student Programs","campus life","UER RG 216, A17-24, 9268"
145,"Boise State Public Radio","15 second spot for Boise State Public Radio, ""Your NPR News Source.""","2011-08-24","Communications and Marketing","TzAC","Archives Media",12/7/2017 8:47:49,"Boise State Public Radio","radio; promotions","UER RG 216, A17-24, 9268"
146,"Alumni Association promotion","Alumni Association video encouraging graduates to join.","2012-03-06","Communications and Marketing","mmaO","Archives Media",12/7/2017 8:47:49,"Alumni Association","promotions","UER RG 216, A17-24, 9268"
147,"Multidisciplinary Studies","Multidisciplinary Studies Commercial.","2014-09-24","Communications and Marketing","LVmc","Archives Media",12/7/2017 8:47:49,"Multidisciplinary Studies","academic programs","UER RG 216, A17-24, 9268"
148,"Micron","Mark Durcan, Micron CEO, explains Micron's heavy involvement and donations to Boise State University.","2012-08-22","Communications and Marketing","QcQb","Archives Media",12/7/2017 8:47:49,"College of Business and Economics","fund raising; donors","UER RG 216, A17-24, 9268"
149,"Barbara Morgan 1","Barbara Morgan message about Adler Planetarium programs inspiring young women to pursue a career in science.","2012-03-23","Communications and Marketing","mLh8","Archives Media",12/7/2017 9:31:18,"Research and Economic Development","women's education","UER RG 216, A17-24, 9268"
150,"Beyond the Blue 10 seconds","Beyond the Blue promo.","2011-10-14","Communications and Marketing","ZjSZ","Archives Media",12/7/2017 8:47:49,"Admissions","promotions","UER RG 216, A17-24, 9268"
151,"Troy Rohn, Beyond the Blue program","Beyond the Blue segment with Professor Troy Rohn discussing his focused research in Alzheimer's Disease and the involvement he has within the community.","2011-11-03","Communications and Marketing","dsNf","Archives Media",12/7/2017 8:47:49,"Biology","research","UER RG 216, A17-24, 9268"
152,"Big East Announcement","Short video of President Bob Kustra announces Boise State University and its new Conference Affiliations.","2011-12-08","Communications and Marketing","Fq8h","Archives Media",12/20/2017 12:46:12,"University President; Athletics","sports","UER RG 216, A17-24, 9268"
153,"Biomolecular PhD","Video showcasing the Biomolecular Ph.D. Program here at Boise State University.","2013-02-27","Communications and Marketing","nRa6","Archives Media",12/7/2017 8:47:49,"Biology","research","UER RG 216, A17-24, 9268"
154,"Biomolecular Sciences PhD","Video showcasing the Biomolecular Ph.D. Program here at Boise State University.","2013-04-15","Communications and Marketing","vyzb","Archives Media",12/7/2017 8:47:49,"Biology","research","UER RG 216, A17-24, 9268"
155,"Black Out","Short slide show of the 2013 Basketball Black Out game.","2013-03-05","Communications and Marketing","vZg8","Archives Media",12/20/2017 12:43:34,"Basketball","sports","UER RG 216, A17-24, 9268"
156,"Bleymaier Football Center","Bleymaier Football Center promo with graphics","2013-10-23","Communications and Marketing","wuA3","Archives Media",12/7/2017 8:47:49,"Football","promotions; campus","UER RG 216, A17-24, 9268"
157,"Boise Airport promotion","Short video to encourage interest in Boise State.","2013-05-03","Communications and Marketing","zpjo","Archives Media",12/7/2017 8:47:49,"Admissions","promotions","UER RG 216, A17-24, 9268"
158,"Boise State Flyover","Short flyover video of Boise State University's campus.","2013-06-07","Communications and Marketing","qBpp","Archives Media",12/7/2017 8:47:49,"Communications and Marketing","campus; aerial views","UER RG 216, A17-24, 9268"
159,"Boise State Visit Video","Short video with attractive clips and reasons to visit Boise State University.","2013-09-19","Communications and Marketing","8YCy","Archives Media",12/7/2017 8:47:49,"Admissions","promotions","UER RG 216, A17-24, 9268"
160,"Boise State Wow Awards","Virtual Reality System for Mastering Medical Skills","2015-09-24","Communications and Marketing","OwLm","Archives Media",12/7/2017 8:47:49,"College of Health Sciences","research","UER RG 216, A17-24, 9268"
161,"Boise Airport promotion","Boise State airport advertisement.","2012-04-25","Communications and Marketing","gvls","Archives Media",12/7/2017 8:47:49,"Admissions","promotions","UER RG 216, A17-24, 9268"
162,"Bronco Fan Friday","Student Alumni Association encourages Boise State community to wear blue an orange colors on Fridays.","2011-08-24","Communications and Marketing","bcLi","Archives Media",12/7/2017 8:47:49,"Student Alumni Association","promotions","UER RG 216, A17-24, 9268"
163,"Burrowing Owls","Jim Belthoff , Burrowing Owl Research ","2014-06-16","Communications and Marketing","LMjX","Archives Media",12/7/2017 8:47:49,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
164,"Buster Health Center New Brand","Buster's visit to the Health Center ","2013-05-15","Communications and Marketing","miNZ","Archives Media",12/7/2017 8:47:49,"College of Health Sciences","health services; mascots","UER RG 216, A17-24, 9268"
165,"Buster Visits Rec New Brand","Buster's visit to the Rec Center ","2013-05-15","Communications and Marketing","stCV","Archives Media",12/7/2017 8:47:49,"Campus REC center","recreation; mascots","UER RG 216, A17-24, 9268"
166,"Center for Orthopedic & Biomechanics Research at Boise State","Center for Orthopedic & Biomechanics Research at Boise State ","2011-07-22","Communications and Marketing","uCiD","Archives Media",12/7/2017 8:47:49,"College of Health Sciences","research","UER RG 216, A17-24, 9268"
167,"President Obama visit to campus","Camille Eddy introducing President Obama, President Obama speech ","2015-02-27","Communications and Marketing","c0qf","Archives Media",12/7/2017 8:47:49,"Communications and Marketing","Presidents","UER RG 216, A17-24, 9268"
168,"College Of Engineering Tutoring Center","College of Engineering Tutoring Center  ","2015-03-24","Communications and Marketing","mcRa","Archives Media",12/7/2017 8:47:49,"College of Engineering","academic programs","UER RG 216, A17-24, 9268"
169,"Concurrent Enrollment","Concurrent Enrollment Program at Boise State ","2014-01-30","Communications and Marketing","PnCn","Archives Media",12/7/2017 8:47:49,"Extended Studies","academic programs","UER RG 216, A17-24, 9268"
170,"Distance","President Bob Kustra talks about the role of technology at Boise State","2011-08-10","Communications and Marketing","M73l","Archives Media",12/7/2017 8:47:49,"University President","equipment and supplies","UER RG 216, A17-24, 9268"
171,"Educational Technology Approved Animation","Introduction graphic for Educational Technology","2014-09-04","Communications and Marketing","Mzf2","Archives Media",12/20/2017 12:43:52,"College of Education","education","UER RG 216, A17-24, 9268"
172,"Edgar Sosa","Edgar Sosa, scholarship recipient thanks donors ","2015-02-26","Communications and Marketing","EvB4","Archives Media",12/7/2017 8:47:49,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
173,"Emily Walton","Emily Walton, commencement speaker ","2013-05-23","Communications and Marketing","ZaIo","Archives Media",12/7/2017 8:47:49,"Commencement","public speaking","UER RG 216, A17-24, 9268"
174,"Employee Giving","Students thanking donors and encouraging employees to donate to the university to fund scholarships.","2013-01-01","Communications and Marketing","6Arh","Archives Media",12/7/2017 8:47:49,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
175,"Engineering Rocket","Engineering students build and launch a rocket, 30 seconds.","2014-10-09","Communications and Marketing","IgeC","Archives Media",12/7/2017 8:47:49,"College of Engineering",,"UER RG 216, A17-24, 9268"
176,"Engineering Rocket","Engineering students discus building and launching a rocket ","2014-10-13","Communications and Marketing","tB63","Archives Media",12/7/2017 8:47:49,"College of Engineering",,"UER RG 216, A17-24, 9268"
177,"Entrepreneurship Day","Center for Entrepreneurship introduction ","2012-03-27","Communications and Marketing","g19A","Archives Media",12/7/2017 8:47:49,"College of Business and Economics","academic programs","UER RG 216, A17-24, 9268"
178,"Explore Magazine","Boise State Explore Magazine","2013-02-06","Communications and Marketing","u69E","Archives Media",12/7/2017 8:47:49,"Communications and Marketing","research","UER RG 216, A17-24, 9268"
179,"Give Today","Short promotional clip with shots of athletics, academics, and campus life.","2014-12-18","Communications and Marketing","UddY","Archives Media",12/7/2017 8:47:49,"Communications and Marketing","fund raising","UER RG 216, A17-24, 9268"
180,"Focus Promotion","Focus on Boise State promotion, rejected","2014-12-04","Communications and Marketing","vdUG","Archives Media",12/7/2017 8:47:49,"Communications and Marketing","promotions","UER RG 216, A17-24, 9268"
181,"Foundation Scholars","Foundation Scholar Awards ","2014-04-08","Communications and Marketing","5zV8","Archives Media",12/7/2017 8:47:49,"Foundation","scholarship","UER RG 216, A17-24, 9268"
182,"Foundation Scholars","Foundation Scholar Awards ","2015-04-17","Communications and Marketing","RhjO","Archives Media",12/7/2017 8:47:49,"Foundation","scholarship","UER RG 216, A17-24, 9268"
183,"Foundation Scholars","Foundation Scholar Awards, Hq","2013-04-08","Communications and Marketing","ToIT","Archives Media",12/7/2017 8:47:49,"Foundation","scholarship","UER RG 216, A17-24, 9268"
184,"Foundational Studies Group Photo","Foundational Studies group photo","2015-09-17","Communications and Marketing","ql7e","Archives Media",12/7/2017 8:47:50,"Foundational Studies Program","academic programs","UER RG 216, A17-24, 9268"
185,"Foundational Studies","Foundational Studies  promotion","2012-08-01","Communications and Marketing","B690","Archives Media",12/7/2017 8:47:50,"Foundational Studies Program","academic programs","UER RG 216, A17-24, 9268"
186,"Frank Zang","Communications and Marketing staff wish Frank Zang good bye and good luck after his retirement.","2013-01-17","Communications and Marketing","dsBv","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","retirements","UER RG 216, A17-24, 9268"
187,"Friends Looping Slide Show","Friends of Nursing Celebrating 25th Anniversary slideshow","2013-11-05","Communications and Marketing","QPFL","Archives Media",12/7/2017 8:47:50,"College of Health Sciences","history; nursing","UER RG 216, A17-24, 9268"
188,"Wise Beyond Your Field book Promotional 1","Wise Beyond Your Field book promotion with Nancy K. Napier, Promotional Video 1.","2013-04-18","Communications and Marketing","Dk7l","Archives Media",12/7/2017 8:47:50,"Center for Creativity and Innovation","promotions; scholarship","UER RG 216, A17-24, 9268"
189,"George Fenton","George Fenton, commencement speaker introduction","2012-05-07","Communications and Marketing","Gnug","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
190,"Golden Eagle Field Work Helmet Cam","Golden Eagle Helmet Camera","2014-05-28","Communications and Marketing","gtDO","Archives Media",12/7/2017 8:47:50,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
191,"Grads At B","Graduates posing at the B","2014-05-19","Communications and Marketing","nvNj","Archives Media",12/20/2017 12:44:07,"Commencement","graduation","UER RG 216, A17-24, 9268"
192,"Greenspeed","Greenspeed, Vegetable Oil Fueled Truck ","2012-01-23","Communications and Marketing","GXhI","Archives Media",12/7/2017 8:47:50,"Student Organizations","Conservation of natural resources; Racing","UER RG 216, A17-24, 9268"
193,"Hannah Newhouse","Hannah Newhouse, race car driver ","2014-09-24","Communications and Marketing","q7CY","Archives Media",12/7/2017 8:47:50,"Athletics","Racing;  Women athletes;","UER RG 216, A17-24, 9268"
194,"Happy Blue Year","Happy Blue Year at Boise State slideshow","2011-12-27","Communications and Marketing","coHZ","Archives Media",12/20/2017 12:42:37,"Communications and Marketing","campus, holidays","UER RG 216, A17-24, 9268"
195,"Health Center","Buster visits the Health Center","2011-11-21","Communications and Marketing","kYn5","Archives Media",12/7/2017 8:47:50,"College of Health Sciences","mascots","UER RG 216, A17-24, 9268"
196,"Henry Charlier New Logos","Dr. Charlier discusses his research and patents for the department of Research and Economic Development.","2013-02-19","Communications and Marketing","Ucim","Archives Media",12/7/2017 8:47:50,"Chemistry","research","UER RG 216, A17-24, 9268"
197,"Hockey Announcement","Dr. Kustra welcomes attendees of the Black and Blue Hockey club game and declares proceeds of the game will go towards charitable food programs in the Treasure Valley, 2. High Definition.","2012-11-08","Communications and Marketing","nieJ","Archives Media",12/14/2017 15:43:10,"University President","community service;","UER RG 216, A17-24, 9268"
198,"Hockey Announcement","Dr. Kustra welcomes attendees of the Black and Blue Hockey club game and declares proceeds of the game will go towards charitable food programs in the Treasure Valley. High Definition.","2012-11-08","Communications and Marketing","Nk7m","Archives Media",12/14/2017 15:43:13,"University President","community service;","UER RG 216, A17-24, 9268"
199,"Holiday Card","Slideshow and video overview of campus activities for 2014 with Choir singing. Rejected Video.","2014-12-10","Communications and Marketing","mSu3","Archives Media",12/7/2017 8:47:50,"Music Department","Holidays","UER RG 216, A17-24, 9268"
200,"Homecoming","Homecoming video featuring the tailgate, parade and game snapshots. Second Version.","2012-10-24","Communications and Marketing","8CHA","Archives Media",12/7/2017 8:47:50,"Homecoming","campus life","UER RG 216, A17-24, 9268"
201,"Homecoming Slide Show","Homecoming video featuring the tailgate, parade and game snapshots.","2011-10-31","Communications and Marketing","AoxB","Archives Media",12/7/2017 8:47:50,"Homecoming","campus life","UER RG 216, A17-24, 9268"
202,"Idaho Dance Theatre","Idaho Dance Theatre Spring performance advertisement.","2014-04-09","Communications and Marketing","zUJO","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","promotions","UER RG 216, A17-24, 9268"
203,"Idaho Dance Theatre Spring Show","Idaho Dance Theatre Spring performance advertisement.","2014-04-09","Communications and Marketing","gSdt","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","promotions","UER RG 216, A17-24, 9268"
204,"Imagine","Commercial ""Imagine"" campaign, being part of something greater at Boise State highlighting a diverse and multifaceted university.","2014-02-25","Communications and Marketing","DReR","Archives Media",12/7/2017 8:47:50,"Admissions","research; academic programs; performing arts","UER RG 216, A17-24, 9268"
205,"Impact Scholars","Impact Scholars program introduction, a system for aiding students from barriers that might hinder success in college.","2015-04-02","Communications and Marketing","VCoC","Archives Media",12/7/2017 8:47:50,"Impact Scholars Program","academic programs","UER RG 216, A17-24, 9268"
206,"International Business Programs","Professors discuss the importance of International Business and the programs offered at Boise State.","2012-06-05","Communications and Marketing","kthq","Archives Media",12/7/2017 8:47:50,"College of Business and Economics","academic programs","UER RG 216, A17-24, 9268"
207,"Jamie Lundergreen","Jamie Lundergreen, top scholar, speaks about her experience in the Honors College at Boise State.","2014-05-12","Communications and Marketing","nM0t","Archives Media",12/7/2017 8:47:50,"Honors College","academic programs","UER RG 216, A17-24, 9268"
208,"Jamie Lundergreen Speech","Jamie Lundergreen's speech at Spring Commencement. ","2014-05-17","Communications and Marketing","eU0Y","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
209,"Jen Forbey Research","Jen Forbey research on a pigmy rabbit sage brush habitat using drone aircraft.","2013-08-02","Communications and Marketing","gwxv","Archives Media",12/7/2017 8:47:50,"Biology","research","UER RG 216, A17-24, 9268"
210,"Josh Watkins Speech","Josh Watkins  Spring commencement speech.","2013-05-23","Communications and Marketing","LxMD","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
211,"Juliette Tinker Research","Juliette Tinker speaks about her research on needle-free routes of vaccination of MRSA.","2013-01-24","Communications and Marketing","jX4w","Archives Media",12/7/2017 8:47:50,"Biology","research","UER RG 216, A17-24, 9268"
212,"Keck Grant","Keck Grant that support the research conducted at Boise State concerning disease ","2012-01-09","Communications and Marketing","Mc3y","Archives Media",12/7/2017 8:47:50,"Material Science Engineering; Chemistry","research","UER RG 216, A17-24, 9268"
213,"Kestrel Study","Julie Heath discusses her research study with Kestrels and human impact on ecology","2013-05-08","Communications and Marketing","8HhY","Archives Media",12/7/2017 8:47:50,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
214,"Kevin Satterlee Welcome","Vice President Kevin Satterlee introduces Campus Operations and General Counsel and its mission and goals.","2015-08-03","Communications and Marketing","axQe","Archives Media",12/7/2017 8:47:50,"Campus Operations and General Counsel","mission statement","UER RG 216, A17-24, 9268"
215,"Kustra Address","President Kustra's addresses the Friends of Nursing and encouraging support of endowments and scholarships.","2011-11-01","Communications and Marketing","A6SQ","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
216,"Laruen Bramwell","Lauren Bramwell, winter commencement speaker.","2014-12-15","Communications and Marketing","O4Qi","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
217,"Light In The Piazza","Students and Professors introduce The Light in the Piazza.","2014-03-14","Communications and Marketing","Jktj","Archives Media",12/7/2017 8:47:50,"Theatre Arts","promotions","UER RG 216, A17-24, 9268"
218,"Literacy Master's Degree","Overview of the Literacy Master degree, a program for teaching reading.","2012-10-12","Communications and Marketing","2MSW","Archives Media",12/7/2017 8:47:50,"College of Education","academic programs","UER RG 216, A17-24, 9268"
219,"Little Women","Students and Administration discuss Little Women, a production by the Departments of Theatre Arts and Music ","2015-03-04","Communications and Marketing","rgG4","Archives Media",12/7/2017 8:47:50,"Theatre Arts","promotions","UER RG 216, A17-24, 9268"
220,"Micron Business & Economics Building Opening","Opening of the Micron Business & Economics Building ","2012-08-15","Communications and Marketing","LbBh","Archives Media",12/14/2017 15:43:25,"College of Business and Economics","campus","UER RG 216, A17-24, 9268"
221,"Micron Business & Economics Opening Celebration","President Kustra's dedication of the Micron Business & Economics Building","2012-08-24","Communications and Marketing","JKeA","Archives Media",12/14/2017 15:43:25,"University President; College of Business and Economics","campus","UER RG 216, A17-24, 9268"
222,"Micron Business & Economics Solar Panel Install","Micron Business & Economics Building Solar Panel installation ","2015-12-07","Communications and Marketing","HkZI","Archives Media",12/14/2017 15:43:25,"College of Business and Economics","campus; equipment and supplies","UER RG 216, A17-24, 9268"
223,"Micron Business & Economics Time-lapse","Micron Business & Economics Building time lapse ","2015-12-07","Communications and Marketing","EQSY","Archives Media",12/14/2017 15:43:25,"College of Business and Economics","campus","UER RG 216, A17-24, 9268"
224,"Maddie Booth","Maddie Booth, Student scholarship recipient","2015-02-26","Communications and Marketing","EylN","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
225,"Make A Wish","Kalee Alvarado, Make-A-Wish Recipient","2014-08-22","Communications and Marketing","mTeJ","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
226,"Make College Count!","Make College Count, highlighting skills in communication, relationship building, managing priorities, solving problems, analyzing information.","2015-06-03","Communications and Marketing","MQdy","Archives Media",12/20/2017 12:43:44,"Career Center","education","UER RG 216, A17-24, 9268"
227,"Mark Coyle Announcement","Edited and highlight version of President Bob Kustra press conference announcing and welcoming Mark Coyle as the new Athletic Director ","2011-12-05","Communications and Marketing","Hbrd","Archives Media",12/7/2017 8:47:50,"University President; Athletics","public speaking","UER RG 216, A17-24, 9268"
228,"Mark Coyle Press Conference","Full press conference recording of President Bob Kustra announcing and welcoming Mark Coyle as the new Athletic Director.","2011-12-07","Communications and Marketing","7uF0","Archives Media",12/7/2017 8:47:50,"University President; Athletics","public speaking","UER RG 216, A17-24, 9268"
229,"Thoroughly Modern Millie","Department of Theatre Arts and Music Presents Thoroughly Modern Millie","2013-03-13","Communications and Marketing","YM7u","Archives Media",12/7/2017 8:47:50,"Theatre Arts","promotions; performing arts;","UER RG 216, A17-24, 9268"
230,"Multidisciplinary Studies","Boise State Multidisciplinary Studies encouraging adults to pursue education at Boise State","2014-08-08","Communications and Marketing","YPZD","Archives Media",12/7/2017 8:47:50,"Multidisciplinary Studies","academic programs","UER RG 216, A17-24, 9268"
231,"Orientation Overview","Overview of the new student orientation program","2011-06-09","Communications and Marketing","HImz","Archives Media",12/7/2017 8:47:50,"New Student Programs","campus life","UER RG 216, A17-24, 9268"
232,"Our Community Is Our Classroom 1280","Community becomes part of the Boise State classroom through Service-Learning ","2012-12-03","Communications and Marketing","6EaP","Archives Media",12/7/2017 8:47:50,"Service Learning","community service;","UER RG 216, A17-24, 9268"
233,"Recreation Center","Recreation Center overview","2011-11-18","Communications and Marketing","qPd9","Archives Media",12/7/2017 8:47:50,"Campus REC center","recreation","UER RG 216, A17-24, 9268"
234,"Residential College","Living Learning Communities introduction and program overview","2014-03-28","Communications and Marketing","pa02","Archives Media",12/7/2017 8:47:50,"University Housing","community service;","UER RG 216, A17-24, 9268"
235,"Riley Hunt","Riley Hunt, scholarship recipient thanks donors","2015-02-26","Communications and Marketing","N2TM","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
236,"Rob Spaul Golden Eagles","Rob  Spaul, research on Golden Eagles through the Raptor Biology Program","2014-06-23","Communications and Marketing","Q1jT","Archives Media",12/7/2017 8:47:50,"Raptor Biology Biological Science","research","UER RG 216, A17-24, 9268"
237,"STEM","Science, Technology, Engineering and Mathematics Program clips ","2011-06-19","Communications and Marketing","8S79","Archives Media",12/20/2017 12:42:43,"Communications and Marketing","academic programs","UER RG 216, A17-24, 9268"
238,"Scholarship Dinner","Scholarship Dinner containing clips of past recipients ","2011-11-01","Communications and Marketing","6NZn","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
239,"Scholarships","Riley Hunt, scholarship recipient thanks donors","2015-02-25","Communications and Marketing","yLfM","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
240,"Scholarships","Cassandra Sullivan, Charlotte Tomevi, Allagio Laurino speak about scholarships ","2013-03-11","Communications and Marketing","POan","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
241,"Scholarships","Camille Eddy, Kelsey Martin, Timothy Hibbard, speak about their experience at Boise State as well as the scholarships they received.","2014-02-12","Communications and Marketing","0q1H","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
242,"Shakespeare Shop","Shakespeare shop ","2013-07-01","Communications and Marketing","P4FS","Archives Media",12/7/2017 8:47:50,"Idaho Shakespeare Festival","performing arts","UER RG 216, A17-24, 9268"
243,"Simulation Center Accreditation Revised","College of Health Sciences, Simulation Center overview- Revised version","2015-02-09","Communications and Marketing","bBrs","Archives Media",12/7/2017 8:47:50,"College of Health Sciences","academic programs","UER RG 216, A17-24, 9268"
244,"Simulation Center Accreditation","College of Health Sciences, Simulation Center overview ","2013-11-04","Communications and Marketing","GuT8","Archives Media",12/7/2017 8:47:50,"College of Health Sciences","academic programs","UER RG 216, A17-24, 9268"
245,"Spring  Commencement","Photographs from the Spring 2013 Commencement","2013-05-20","Communications and Marketing","ae6W","Archives Media",12/20/2017 12:44:12,"Commencement","graduation","UER RG 216, A17-24, 9268"
246,"Spring  Commencement","Photographs from the Spring 2015 Commencement","2015-06-03","Communications and Marketing","qgLl","Archives Media",12/20/2017 12:44:14,"Commencement","graduation","UER RG 216, A17-24, 9268"
247,"Spring Aerials","Aerials view of Boise State during Spring ","2012-06-18","Communications and Marketing","KnVE","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","campus; aerial views","UER RG 216, A17-24, 9268"
248,"Spring At Boise State Revised","Scenes of campus in the Spring season","2014-01-15","Communications and Marketing","egzE","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","campus","UER RG 216, A17-24, 9268"
249,"Steve Swanson End 1st Quarter","Steve Swanson clip in space and space broncos, NASA micro-gravity research","2014-11-11","Communications and Marketing","ko2U","Archives Media",12/7/2017 8:47:50,"Internships","academic programs","UER RG 216, A17-24, 9268"
250,"Steve Swanson Group Photo","Steve Swanson's visit to Boise State, Group photo, NASA micro-gravity research","2014-11-14","Communications and Marketing","TCDj","Archives Media",12/7/2017 8:47:50,"Internships","academic programs","UER RG 216, A17-24, 9268"
251,"Studio montage","Clips of the photography and video done in the Studio, Photographic Services.","2013-09-16","Communications and Marketing","MQUm","Archives Media",12/7/2017 8:47:50,"Photographic Services","photography","UER RG 216, A17-24, 9268"
252,"Thanks Final","Stephen Heleker, thanks scholarship donors ","2011-06-03","Communications and Marketing","Rnw7","Archives Media",12/7/2017 8:47:50,"Financial Aid and Scholarships","fund raising","UER RG 216, A17-24, 9268"
253,"The Foreigner","The Foreigner, theatre production ","2013-09-05","Communications and Marketing","Tepl","Archives Media",12/7/2017 8:47:50,"Theatre Arts","promotions; performing arts;","UER RG 216, A17-24, 9268"
254,"Theatre Arts The Foreigner","The Foreigner, theatre production ","2013-09-05","Communications and Marketing","6jok","Archives Media",12/7/2017 8:47:50,"Theatre Arts","promotions; performing arts;","UER RG 216, A17-24, 9268"
255,"Then And Now","Boise State photographs comparing the past and the present","2012-06-27","Communications and Marketing","BhQE","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","campus; history","UER RG 216, A17-24, 9268"
256,"Tiara Thompson","Tiara Thompson, 2013 winter commencement speaker introduction ","2013-12-11","Communications and Marketing","FLwe","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
257,"Tiara Thompson Speech","Tiara Thompson, 2013 winter commencement graduation speech","2013-12-20","Communications and Marketing","TpDe","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
258,"Top Ten Scholars","Top Ten Scholars speeches","2014-02-10","Communications and Marketing","vUpo","Archives Media",12/7/2017 8:47:50,"Honors College","public speaking","UER RG 216, A17-24, 9268"
259,"Top Ten Scholars","Top Ten Scholars speak about their experience at Boise State ","2012-04-27","Communications and Marketing","hQrB","Archives Media",12/7/2017 8:47:50,"Honors College","public speaking","UER RG 216, A17-24, 9268"
260,"Top Ten Scholars","Top Ten Scholars  Awards speak about their experience at Boise State","2014-04-30","Communications and Marketing","rFOh","Archives Media",12/7/2017 8:47:50,"Honors College","public speaking","UER RG 216, A17-24, 9268"
261,"Trevor Newby","Trevor Newby, Department of Kinesiology ","2013-09-18","Communications and Marketing","5rFZ","Archives Media",12/7/2017 8:47:50,"College of Health Sciences","academic programs","UER RG 216, A17-24, 9268"
262,"We Speak Digital","New Technology used on Campus, part of the We Speak Digital campaign","2012-09-20","Communications and Marketing","BFZZ","Archives Media",12/7/2017 8:47:50,"Communications and Marketing","equipment and supplies","UER RG 216, A17-24, 9268"
263,"Winter Commencement","Slideshow of winter commencement","2011-12-19","Communications and Marketing","BFIk","Archives Media",12/20/2017 12:44:15,"Commencement","graduation","UER RG 216, A17-24, 9268"
264,"Winter Commencement","Slideshow of winter commencement","2013-12-21","Communications and Marketing","u7j7","Archives Media",12/20/2017 12:44:16,"Commencement","graduation","UER RG 216, A17-24, 9268"
265,"Wise Beyond Your Field book Promotional 2","Wise Beyond Your Field book promotion with Nancy K. Napier, Promotional Video 2.","2013-05-13","Communications and Marketing","UPlG","Archives Media",12/7/2017 8:47:50,"Center for Creativity and Innovation","promotions; scholarship","UER RG 216, A17-24, 9268"
266,"Wyakin Warrior","Nick Edinger, member of the Wyakin Warrior program for wounded veterans at Boise State and overview of the program.","2011-11-28","Communications and Marketing","Hda6","Archives Media",12/7/2017 8:47:50,"Wyakin Warriors","veterans","UER RG 216, A17-24, 9268"
267,"Yara Slaton Student Speaker","Yara Slaton, Spring commencement Student Speaker","2015-05-08","Communications and Marketing","IFoe","Archives Media",12/7/2017 8:47:50,"Commencement","public speaking","UER RG 216, A17-24, 9268"
268,"Year In Photos","A video showing Boise State through photographs ","2014-08-13","Communications and Marketing","4uz0","Archives Media",12/7/2017 8:47:50,"Photographic Services","campus life","UER RG 216, A17-24, 9268"
