"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
59,"Explore BSU commercial","Boise State Admissions commercial for prospective students.","1996","Boise State University, Communications and Marketing; Admissions","n9x1","Archives Media",12/19/2017 13:34:35,"Communications and Marketing","education","RG 8, Box 1, 8682"
60,"Student Recruitment","Recruitment commercial titled ""A Great University in a Great City""","1999","Communications and Marketing","oUMQ","Archives Media",12/20/2017 12:44:22,"Communications and Marketing","education","RG 8, Box 18, 8819"
61,"Susan Shadle","Boise State ""Real Knowledge for the Real World"" campaign featuring Chemistry professor Dr. Susan Shadle.","1999","Communications and Marketing","jbeb","Archives Media",12/20/2017 12:43:48,"Chemistry","education","RG 8, Box 18, 8819"
62,"Jade - Student","Boise State ""Real Knowledge for the Real World"" campaign featuring student Jade.","1999","Communications and Marketing","frxU","Archives Media",12/20/2017 12:44:26,"Communications and Marketing","education","RG 8, Box 18, 8819"
63,"Dan Rogers","Boise State ""Real Knowledge for the Real World"" campaign featuring student Dan Rogers. Includes various endings","1999","Communications and Marketing","Koie","Archives Media",12/20/2017 12:44:28,"Communications and Marketing","education","RG 8, Box 18, 8819"
64,"Christmas Concert commercial","Commercial advertising the Boise State University Christmas Concert, December 5th, 1999 at the Morrison Center.","1999","Communications and Marketing","eMJB","Archives Media",12/19/2017 13:42:38,"Music","performing arts","RG 8, Box 18, 8819"
65,"Real World commercial 1","Television advertisement for Boise State University using the ""Real Education for the Real World"" campaign.","1999","Communications and Marketing","lY9j","Archives Media",12/19/2017 13:42:39,"Communications and Marketing","education","RG 8, Box 18, 8819"
66,"Imagine commercial 2","Television advertisement for Boise State University using the ""Real Education for the Real World"" campaign","2003","Communications and Marketing","NMB9","Archives Media",12/19/2017 13:43:33,"Communications and Marketing","education","RG 8, Box 18, 8819"
67,"Instructor interview","An interview with a physics and chemistry instructor (unidentified) about his pedagogy of using experiments in the classroom.","2003","Communications and Marketing; Physics","ghu4","Archives Media",12/20/2017 12:47:11,"Physics","education","RG 8, Box 18, 8819"
69,"Idaho: A Noble Challenge","Film about life in Idaho produced with funds from the Pacific Northwest Regional Commission and the State of Idaho.","1976","Dick Barrymore and Earl Rickers","saDb","Special Collections",12/20/2017 12:37:50,"Library","environmental policy","Cataloged Media"
70,"The Morrison Center Story","Documentary about the creation of the Morrison Center","2000","Morrison Center","RHuq","Archives Media",12/19/2017 14:01:39,"Morrison Center","performing arts","RG 8, Box 1, 8687"
71,"Morrison Center Promotional Video","A 1984 promotional video about Harry Morrison and the then-new Morrison Center.","1984","Morrison Center","dQYt","Archives Media",12/19/2017 14:20:04,"Morrison Center","performing arts","RG 8, Box 4, 2966"
72,"Morrison Center: Opening Night","Opening night dedication of the Morrison Center on April 7, 1984, with interviews Velma Morrison, Bill McMurren, John Keiser, and John Evans.","1984-04-07","Morrison Center","FrRe","Archives Media",12/19/2017 14:40:53,"Morrison Center","performing arts","RG 8, DVD Box 1, 3094"
73,"Afghanistan: A Progressive Country","Discusses some of the economic changes in Afghanistan after World War II and particularly the building of dams by Morrison Knudsen Afghanistan in order to reclaim desert land for agricultural purposes.","1958","Morrison Knudsen Company","wV8P","Morrison Knudsen Company",12/19/2017 14:46:36,"Morrison Knudsen Company","Engineering & construction; international relations","MSS 296"
74,"Lyman Wilbur - MK Vice President interview","Civil engineer and executive of Morrison Knudsen Company Lyman D. Wilbur reflects on his work history with the company and some memorable projects.","1995","Morrison Knudsen Company","tuIC","Morrison Knudsen Company",12/19/2017 14:46:36,"Morrison Knudsen Company","Engineering & construction","MSS 296"
75,"Cliff Baker - HKF President interview","HK Ferguson president Cliff Baker answers questions about the history of HKF.","1995","Morrison Knudsen Company","y740","Morrison Knudsen Company",12/19/2017 14:46:36,"Morrison Knudsen Company","Engineering & construction","MSS 296"
76,"Gift for the Dragons Son","Overview of the infrastructure projects contracted by the RMK-BRJ, a Morrison-Knudsen Company Inc. joint venture, to build ports, highways and airbases in South Vietnam.","1968","Morrison Knudsen Company","BTuH","Morrison Knudsen Company",12/19/2017 14:46:36,"Morrison Knudsen Company","Engineering & construction; international relations","MSS 296"
